"","date","time","position_lat","position_long","distance","speed","heart_rate","cadence","enhanced_speed","enhanced_altitude","fractional_cadence"
"1","2022-11-06","14:46:21",40.6018881686032,-74.0601968485862,1.63,NA,116,79,1.931,37.2,0
"2","2022-11-06","14:46:22",40.6018867436796,-74.0601652488112,4.29,NA,118,80,3.247,37.2,0
"3","2022-11-06","14:46:23",40.6018880847842,-74.0601336490363,6.97,NA,121,80,2.202,37.2,0
"4","2022-11-06","14:46:25",40.6018847320229,-74.0600712038577,12.27,NA,126,80,2.174,37.2,0.5
"5","2022-11-06","14:46:27",40.601882468909,-74.0600080881268,17.62,NA,130,80,2.435,37.2,0.5
"6","2022-11-06","14:46:28",40.6018820498139,-74.0599762368947,20.32,NA,134,80,2.435,37.4,0.5
"7","2022-11-06","14:46:29",40.6018838100135,-74.0599460620433,22.87,NA,133,80,2.585,37.8,0.5
"8","2022-11-06","14:46:31",40.6018889229745,-74.0598863828927,27.95,NA,137,81,2.594,38.6,0
"9","2022-11-06","14:46:34",40.6019014120102,-74.0597927570343,36,NA,140,80,2.631,39.4,0
"10","2022-11-06","14:46:36",40.6019080337137,-74.0597354248166,40.91,NA,143,81,2.641,39.8,0
"11","2022-11-06","14:46:38",40.6019154097885,-74.0596776735038,45.86,NA,145,81,2.613,40.2,0
"12","2022-11-06","14:46:40",40.6019222829491,-74.0596040803939,52.14,NA,148,80,2.603,40.6,0
"13","2022-11-06","14:46:46",40.6019423156977,-74.0594097040594,68.74,NA,151,81,2.678,41.4,0
"14","2022-11-06","14:46:47",40.6019476801157,-74.0593765955418,71.61,NA,151,81,2.687,41.4,0
"15","2022-11-06","14:46:50",40.6019667070359,-74.0592795331031,80.1,NA,154,82,2.762,41.6,0
"16","2022-11-06","14:46:53",40.6019862368703,-74.0591845661402,88.43,NA,157,81,2.734,41.6,0
"17","2022-11-06","14:46:55",40.6019989773631,-74.0591196902096,94.1,NA,160,81,2.725,41.6,0
"18","2022-11-06","14:46:59",40.6020320858806,-74.0589897707105,105.7,NA,163,81,2.715,41.8,0
"19","2022-11-06","14:47:05",40.6020773481578,-74.0587991662323,122.6,NA,164,81,2.762,43.8,0
"20","2022-11-06","14:47:12",40.6021554674953,-74.0585805661976,143.05,NA,163,80,2.799,45.2,0
"21","2022-11-06","14:47:19",40.6022381968796,-74.0583686716855,163.23,NA,164,81,2.818,46.2,0
"22","2022-11-06","14:47:20",40.6022481713444,-74.0583379939198,166.05,NA,164,82,2.827,46.4,0
"23","2022-11-06","14:47:28",40.602318579331,-74.0580943319947,188.1,NA,165,81,2.837,47,0
"24","2022-11-06","14:47:36",40.6023968663067,-74.0578556992114,210.1,NA,164,80,2.837,47.6,0
"25","2022-11-06","14:47:39",40.6024259515107,-74.0577670186758,218.27,NA,166,81,2.827,47.6,0
"26","2022-11-06","14:47:47",40.6024977006018,-74.0575226861984,240.42,NA,166,81,2.809,48.4,0
"27","2022-11-06","14:47:49",40.6025178171694,-74.0574605762959,246.11,NA,165,81,2.809,48.8,0
"28","2022-11-06","14:47:57",40.6025929190218,-74.0572242904454,267.77,NA,163,81,2.809,50.4,0
"29","2022-11-06","14:48:04",40.6026702839881,-74.0570104680955,287.8,NA,165,80,2.799,50.2,0
"30","2022-11-06","14:48:05",40.6026788335294,-74.0569841489196,290.22,NA,165,80,2.79,50.2,0
"31","2022-11-06","14:48:10",40.6027481518686,-74.0568127389997,306.64,NA,168,81,2.799,50.2,0
"32","2022-11-06","14:48:13",40.6027815118432,-74.0567135810852,315.82,NA,169,83,2.818,50.6,0
"33","2022-11-06","14:48:20",40.6028451304883,-74.056491041556,335.91,NA,169,81,2.874,51.4,0
"34","2022-11-06","14:48:24",40.6028850283474,-74.0563645586371,347.49,NA,170,81,2.883,51.8,0
"35","2022-11-06","14:48:31",40.6029578670859,-74.0561410970986,368.04,NA,171,81,2.893,53.4,0
"36","2022-11-06","14:48:32",40.6029731221497,-74.056100025773,371.91,NA,171,81,2.893,53.8,0
"37","2022-11-06","14:48:39",40.6030473019928,-74.0558750554919,392.68,NA,172,81,2.921,55.2,0
"38","2022-11-06","14:48:42",40.6030692625791,-74.0557779092342,401.23,NA,173,81,2.93,55.4,0
"39","2022-11-06","14:48:49",40.6031508184969,-74.0555656794459,421.35,NA,172,81,2.939,56.2,0
"40","2022-11-06","14:48:53",40.6032007746398,-74.0554355084896,433.69,NA,173,81,2.939,56.8,0
"41","2022-11-06","14:48:59",40.6032703444362,-74.0552434790879,451.68,NA,170,81,2.939,57,0
"42","2022-11-06","14:49:06",40.6033475417644,-74.0550276450813,471.86,NA,169,81,2.948,57.8,0
"43","2022-11-06","14:49:13",40.6034149322659,-74.054799657315,492.51,NA,171,80,2.958,59.2,0
"44","2022-11-06","14:49:16",40.6034454423934,-74.0547028463334,501.38,NA,173,81,2.958,59.4,0
"45","2022-11-06","14:49:24",40.6035216338933,-74.0544484555721,524.48,NA,174,81,2.958,60.8,0
"46","2022-11-06","14:49:25",40.6035318598151,-74.054419035092,527.22,NA,174,82,2.958,61.2,0
"47","2022-11-06","14:49:33",40.6036192830652,-74.054175792262,549.96,NA,175,81,2.958,63,0
"48","2022-11-06","14:49:35",40.6036388128996,-74.0541180409491,555.29,NA,175,81,2.948,63,0
"49","2022-11-06","14:49:43",40.6037170998752,-74.0538756363094,577.55,NA,173,81,2.93,64.4,0
"50","2022-11-06","14:49:45",40.6037381384522,-74.0538109280169,583.5,NA,173,81,2.921,64.8,0
