,date,time,latitude,longitude,distance,speed,heart_rate,cadence,enhanced_speed,enhanced_altitude,fractional_cadence
1,11/6/22,14:46:21,40.60188817,-74.06019685,1.63,NA,116,79,1.931,37.2,0
2,11/6/22,14:46:22,40.60188674,-74.06016525,4.29,NA,118,80,3.247,37.2,0
3,11/6/22,14:46:23,40.60188808,-74.06013365,6.97,NA,121,80,2.202,37.2,0
4,11/6/22,14:46:25,40.60188473,-74.0600712,12.27,NA,126,80,2.174,37.2,0.5
5,11/6/22,14:46:27,40.60188247,-74.06000809,17.62,NA,130,80,2.435,37.2,0.5
6,11/6/22,14:46:28,40.60188205,-74.05997624,20.32,NA,134,80,2.435,37.4,0.5
7,11/6/22,14:46:29,40.60188381,-74.05994606,22.87,NA,133,80,2.585,37.8,0.5
8,11/6/22,14:46:31,40.60188892,-74.05988638,27.95,NA,137,81,2.594,38.6,0
9,11/6/22,14:46:34,40.60190141,-74.05979276,36,NA,140,80,2.631,39.4,0
10,11/6/22,14:46:36,40.60190803,-74.05973542,40.91,NA,143,81,2.641,39.8,0
11,11/6/22,14:46:38,40.60191541,-74.05967767,45.86,NA,145,81,2.613,40.2,0
12,11/6/22,14:46:40,40.60192228,-74.05960408,52.14,NA,148,80,2.603,40.6,0
13,11/6/22,14:46:46,40.60194232,-74.0594097,68.74,NA,151,81,2.678,41.4,0
14,11/6/22,14:46:47,40.60194768,-74.0593766,71.61,NA,151,81,2.687,41.4,0
15,11/6/22,14:46:50,40.60196671,-74.05927953,80.1,NA,154,82,2.762,41.6,0
16,11/6/22,14:46:53,40.60198624,-74.05918457,88.43,NA,157,81,2.734,41.6,0
17,11/6/22,14:46:55,40.60199898,-74.05911969,94.1,NA,160,81,2.725,41.6,0
18,11/6/22,14:46:59,40.60203209,-74.05898977,105.7,NA,163,81,2.715,41.8,0
19,11/6/22,14:47:05,40.60207735,-74.05879917,122.6,NA,164,81,2.762,43.8,0
20,11/6/22,14:47:12,40.60215547,-74.05858057,143.05,NA,163,80,2.799,45.2,0
21,11/6/22,14:47:19,40.6022382,-74.05836867,163.23,NA,164,81,2.818,46.2,0
22,11/6/22,14:47:20,40.60224817,-74.05833799,166.05,NA,164,82,2.827,46.4,0
23,11/6/22,14:47:28,40.60231858,-74.05809433,188.1,NA,165,81,2.837,47,0
24,11/6/22,14:47:36,40.60239687,-74.0578557,210.1,NA,164,80,2.837,47.6,0
25,11/6/22,14:47:39,40.60242595,-74.05776702,218.27,NA,166,81,2.827,47.6,0
26,11/6/22,14:47:47,40.6024977,-74.05752269,240.42,NA,166,81,2.809,48.4,0
